_prices,_id,_sell_price,_dateTime,_percentageGain
2219.03,0V4HHQL95A,2220.74,2023-12-21 22:49:43,0.077
2220.64,1XLKE9129A,2220.74,2023-12-21 22:49:43,0.005
2219.03,0V4HHQL95A,2220.79,2023-12-21 22:49:44,0.079
2223.77,6H5TP05F5U,2224.99,2023-12-21 23:05:21,0.055
2224.99,240ZV3HAGV,2225.52,2023-12-21 23:06:52,0.024
2225.52,3AJQPJ9X33,2226.32,2023-12-21 23:07:23,0.036
2226.32,GHYSRA3IS3,2226.58,2023-12-21 23:09:25,0.012
2218.67,5K98VNXS4O,2219.61,2023-12-21 23:27:43,0.042
2221.17,SF28TEQQMD,2221.27,2023-12-21 23:30:46,0.005
2222.86,GZ0UJVAPPH,2222.91,2023-12-21 23:31:47,0.002
2228.09,NIP2Y28IBU,2228.99,2023-12-21 23:46:00,0.04
2229.02,VAWXQV1PW9,2229.72,2023-12-21 23:49:33,0.031
2230.98,BWVWWTQH75,2231.39,2023-12-21 23:51:35,0.018
2231.39,H94ZELHEEV,2231.54,2023-12-21 23:52:05,0.007
2232.2,TGR5GBANGS,2233.0,2023-12-21 23:54:37,0.036
2238.45,HNSEE1AE9R,2238.5,2023-12-22 00:13:55,0.002
2237.91,7YICXFPHNA,2238.02,2023-12-22 00:15:27,0.005
2239.52,4YIYTH2OPH,2239.59,2023-12-22 00:16:28,0.003
2240.01,64GRLZ0EVR,2240.03,2023-12-22 00:30:41,0.001
2242.22,S7BD1F0IX3,2246.34,2023-12-22 00:34:47,0.183
2246.34,EIXIEMPLOH,2248.03,2023-12-22 00:35:17,0.075
2248.03,AZ2C7PLUZ5,2248.59,2023-12-22 00:36:49,0.025
2247.46,VN4N9O8RW5,2248.59,2023-12-22 00:36:49,0.05
2249.67,08KSYS6MWV,2251.36,2023-12-22 00:37:50,0.075
2251.36,X2WRU6WND8,2251.43,2023-12-22 00:38:20,0.003
2244.73,58J084F9V5,2245.61,2023-12-22 01:01:44,0.039
2241.45,W1UW37L9F7,2241.52,2023-12-22 01:03:16,0.003
2243.41,UD4XUQQH79,2243.9,2023-12-22 01:09:54,0.022
2245.61,SXGDUYW87Y,2247.65,2023-12-22 01:11:56,0.091
2233.41,7C3SL54SZQ,2233.71,2023-12-22 02:33:02,0.013
2234.0,3G4H0E2VN8,2235.56,2023-12-22 02:33:33,0.07
2235.98,NMP7G7HS9O,2236.89,2023-12-22 02:34:03,0.041
2236.89,NIT3QEUG9C,2237.91,2023-12-22 02:34:34,0.046
2250.66,77JW7UA7DB,2250.69,2023-12-22 04:27:10,0.001
2253.6,5MGREXT7MZ,2254.72,2023-12-22 04:32:49,0.05
2254.72,8D9K1UAVSY,2255.47,2023-12-22 04:33:20,0.033
2255.47,BH6AQN7RSL,2255.79,2023-12-22 04:33:51,0.014
2256.91,OROFJT9T02,2257.11,2023-12-22 04:35:25,0.009
2257.11,U07ZT9X766,2257.86,2023-12-22 04:36:27,0.033
2252.99,ITBTWV4955,2254.12,2023-12-22 04:53:58,0.05
